Site,Year,Depth,Coverage,Min Temp,Max Temp,Avg Temp,Med Temp,Prev Coverage
"Peak Island",2006,2.0,2L,18.793316397849463,28.48335665322581,25.045887865776137,26.000638455421146,2L
"Peak Island",2008,2.0,2L,19.335860640681005,27.8899430316092,24.5373037623081,24.776537490242315,2L
"Peak Island",2010,2.0,2L,19.335860640681005,28.037109051724137,24.203221375240812,24.66748739135305,2L
"Peak Island",2012,2.0,2L,19.335860640681005,28.037109051724137,24.203221375240812,24.66748739135305,2L
"Peak Island",2014,2.0,2L,19.335860640681005,28.037109051724137,24.203221375240812,24.66748739135305,2L
"Peak Island",2020,2.0,3L,19.962289896953404,27.622193154761906,24.19352287720531,24.86183627688172,3L
"Peak Island",2021,2.0,2U,19.962289896953404,27.622193154761906,24.19352287720531,24.86183627688172,3L
"North Keppel Island",2006,2.0,2L,18.714602889784945,28.4060500672043,24.633335077039487,25.471271945564514,2L
"North Keppel Island",2008,2.0,2L,18.714602889784945,27.60003575268817,23.645267911122914,23.51046502650132,2L
"North Keppel Island",2010,2.0,2L,19.84519838709677,27.99747995689655,24.27683141594387,24.64568995295699,2L
"North Keppel Island",2012,2.0,2L,19.84519838709677,27.99747995689655,24.27683141594387,24.64568995295699,2L
"North Keppel Island",2014,2.0,2L,19.84519838709677,27.99747995689655,24.27683141594387,24.64568995295699,2L
"North Keppel Island",2020,2.0,3L,19.877288149641576,29.24235203544061,24.43530354302706,24.68936197692652,3L
"North Keppel Island",2021,2.0,2U,19.877288149641576,27.72707694892473,24.313642740871003,24.69617471444859,3L
"Willis Island",1999,2.0,2U,23.982879838709675,28.05649254032258,26.30570732612273,26.37255184027778,2U
"Willis Island",2002,2.0,2L,23.982879838709675,28.05649254032258,26.30570732612273,26.37255184027778,2L
"Willis Island",2021,2.0,2U,25.191531877240145,29.033685887096773,27.07522898676635,26.8633765547235,2U
"Pandora Reef",1997,2.0,3U,22.6769665546595,30.183033915962493,26.927279092465525,27.173745131067548,3U
"Pandora Reef",1998,2.0,2L,22.6769665546595,30.183033915962493,26.927279092465525,27.173745131067548,3U
"Pandora Reef",1999,2.0,1L,22.6769665546595,30.183033915962493,26.927279092465525,27.173745131067548,2L
"Pandora Reef",2000,2.0,1L,22.6769665546595,30.183033915962493,26.927279092465525,27.173745131067548,1L
"Pandora Reef",2001,2.0,1L,22.6769665546595,30.183033915962493,26.927279092465525,27.173745131067548,1L
"Pandora Reef",2002,2.0,1L,22.6769665546595,30.183033915962493,26.927279092465525,27.173745131067548,1L
"Pandora Reef",2003,2.0,1L,22.6769665546595,30.183033915962493,26.927279092465525,27.173745131067548,1L
"Pandora Reef",2005,2.0,1U,22.6769665546595,30.183033915962493,26.927279092465525,27.173745131067548,1U
"Pandora Reef",2006,2.0,1L,22.6769665546595,30.183033915962493,26.927279092465525,27.173745131067548,1U
"Pandora Reef",2007,2.0,1L,22.6769665546595,30.183033915962493,26.927279092465525,27.173745131067548,1L
"Pandora Reef",2008,2.0,1U,22.6769665546595,30.183033915962493,26.927279092465525,27.173745131067548,1L
"Pandora Reef",2009,2.0,1L,22.6769665546595,30.183033915962493,26.927279092465525,27.173745131067548,1U
"Pandora Reef",2011,2.0,1L,22.6769665546595,30.183033915962493,26.927279092465525,27.173745131067548,1L
"Pandora Reef",2013,2.0,1L,22.6769665546595,30.183033915962493,26.927279092465525,27.173745131067548,1L
"Pandora Reef",2017,2.0,2U,22.710959259259266,30.183033915962493,26.611074844167124,26.800380659741386,2U
"Humpy Island",2006,2.0,2L,20.34896758512545,28.66342872023809,24.625959230082543,24.64943733870058,2L
